ID,Numar post de transformare,Nume,Descrierea BDI,Proprietar,Detaliere Proprietar,Locatia 1,Sucursala,Locatia CE,Numar,PA/PT,Descriere loc functional Retele JT,Descriere obiect tehnic LES JT,Descriere obiect tehnic LEA JT,Tipul constructiv al PT*,Descriere loc functional,Grup planificatori pentru serviciu clienti si intr unit log,Post de lucru,Post de lucru principal pentru sarcini intret,Sectie unitate logistica,Unitate logistica de planificare a întretinerii,Unitate logistica de întretinere,Unitati logistice asociate cu post lucru principal
76,1,0069 MICRO 14  BUZAU,PA 0069 MICRO 14  BUZAU,DEER,,LES 6 KV PA 69,Buzau,LES 6 KV PA 69 CE MT JT BUZAU+BUZAU SUD,99,PA,RET JT PA 0069 MICRO 14  BUZAU,,,,PA 0069 MICRO 14  BUZAU,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE MUNICIPAL BZ,FORMATIA EXPLOATARE MUNICIPAL BZ,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
419,1,COMISARIAT,PTZ 0001 COMISARIAT,DEER,,LES 6 KV PIATA,Buzau,LES 6 KV PIATA CE MT JT BUZAU+BUZAU SUD,6,PT,RET JT PTZ 0001 COMISARIAT,LES JT PTZ 0001 COMISARIAT RM SARAT,LEA JT PTZ 0001 COMISARIAT RM SARAT,PTZ - Zidit,PTZ 0001 COMISARIAT,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE RM.SARAT URBAN,FORMATIA EXPLOATARE RM.SARAT URBAN,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
416,1,BLAJANI CAP,PTA 0001 BLAJANI CAP,DEER,BLAJANI CAP,LEA 20 KV VADU SORESTI,Buzau,LEA 20 KV VADU SORESTI CE MT JT BUZAU NORD,24,PT,RET JT PTA 0001 BLAJANI CAP,LES JT PTA 0001 CAP BLAJANI,LEA JT PTA 0001 CAP BLAJANI,PTA - Aerian,PTA 0001 BLAJANI CAP,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE RETELE NORD,FORMATIA EXPLOATARE RETELE NORD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
36,1,0010 PASAJ BUZAU,PA 0010 PASAJ BUZAU,DEER,,LES 6 KV PASAJ 1,Buzau,LES 6 KV PASAJ 1 CE MT JT BUZAU+BUZAU SUD,9,PA,RET JT PA 0010 PASAJ BUZAU,,,,PA 0010 PASAJ BUZAU,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE MUNICIPAL BZ,FORMATIA EXPLOATARE MUNICIPAL BZ,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
430,1,MECANICA,PTA 0001 MECANICA,DEER,,LEA 20 KV BALTA ALBA,Buzau,LEA 20 KV BALTA ALBA CE MT JT RM.SARAT,4,PT,RET JT PTA 0001 MECANICA,,LEA JT PTA 0001 IAS RM SARAT,PTA - Aerian,PTA 0001 MECANICA,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE  RM.SARAT RURAL,FORMATIA EXPLOATARE  RM.SARAT RURAL,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
7644,1,ORIZONTULUI = DE_CASAT,PTA 0001 ORIZONTULUI = DE_CASAT,DEER,,LEA 20 KV SILOZ = DEFECTA,Buzau,LES 20 KV EPISCOPIE CE MT JT BUZAU+BUZAU SUD,99,PT,RET JT PTA 0001 ORIZONTULUI = DE_CASA,,LEA JT PTA 0001 ORIZONTULUI BUZAU,PTA - Aerian,PTA 0001 ORIZONTULUI = DE_CASAT,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE MUNICIPAL BZ,FORMATIA EXPLOATARE MUNICIPAL BZ,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
52,1,0002 FILATURA BUZAU,PA 0002 FILATURA BUZAU,DEER,,LES 20 KV FILATURA 1,Buzau,LES 20 KV FILATURA 1 CE MT JT BUZAU+BUZAU SUD,99,PA,RET JT PA 0002 FILATURA BUZAU,,,,PA 0002 FILATURA BUZAU,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE MUNICIPAL BZ,FORMATIA EXPLOATARE MUNICIPAL BZ,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
7643,1,MEREI,PTA 0001 MEREI,DEER,,LEA 20 KV MONTEORU,Buzau,LEA 20 KV MONTEORU CE MT JT BUZAU+BUZAU SUD,8,PT,RET JT PTA 0001 MEREI,,LEA JT PTA 0001 MEREI,PTA - Aerian,PTA 0001 MEREI,CE MT JT Buzau+Buzau Sud,FORMATIA SO SUD,FORMATIA SO SUD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
16040,1,PC 0001 CEF 1 STALPU,PA PC 0001 CEF 1 STALPU,DEER,,LEA 20 KV GLODEANU SARAT,Buzau,LEA 20 KV GLODEANU SARAT CE MT JT BUZAU+BUZAU SUD,1,PA,RET JT PA PC 0001 CEF 1 STALPU,,,,PA PC 0001 CEF 1 STALPU,CE MT JT Buzau+Buzau Sud,FORMATIA SO SUD,FORMATIA SO SUD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
10199,1,APA POGOANELE,PTZ 0001 APA POGOANELE,DEER,,LES 20 KV ORAS,Buzau,LES 20 KV ORAS CE MT JT BUZAU+BUZAU SUD,197,PT,RET JT PTZ 0001 APA POGOANELE,LES JT PTZ 0001 APA POGOANELE,LEA JT PTZ 0001 APA POGOANELE,PTZ - Zidit,PTZ 0001 APA POGOANELE,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE POGOANELE,FORMATIA EXPLOATARE POGOANELE,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
65,1,0032 CHIRISTIGII BUZAU,PA 0032 CHIRISTIGII BUZAU,DEER,,LES 6 KV PA 32 CHIRISTIGII,Buzau,LES 6 KV PA 32 CHIRISTIGII CE MT JT BUZAU+BUZAU SUD,97,PA,RET JT PA 0032 CHIRISTIGII BUZAU,,,,PA 0032 CHIRISTIGII BUZAU,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE MUNICIPAL BZ,FORMATIA EXPLOATARE MUNICIPAL BZ,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
17713,2,LIDL SUD,PTAB 0002 LIDL SUD,Terti,LIDL SUD,LES 20 KV FRE,Buzau,LES 20 KV FRE CE MT JT BUZAU+BUZAU SUD,3,PT,RET JT PTAB 0002 LIDL SUD,,,PTAB - Anvelopa de Beton,PTAB 0002 LIDL SUD,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE MUNICIPAL BZ,FORMATIA EXPLOATARE MUNICIPAL BZ,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
18422,2,COMPRESOARE II = CASAT,PTA 0002 COMPRESOARE II = CASAT,Terti,COMPRESOARE II = L_GHERASENI,LEA 20 KV SILOZ = DEFECTA,Buzau,LEA 20 KV SILOZ = DEFECTA CE MT JT BUZAU+BUZAU SUD,9361,PT,RET JT PTA 0002 COMPRESOARE II = CASA,,,PTA - Aerian,PTA 0002 COMPRESOARE II = CASAT,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE RETELE NORD,FORMATIA EXPLOATARE RETELE NORD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
10165,2,CENTRU CIVIC BUZAU,PTAB 0002 CENTRU CIVIC BUZAU,DEER,,LES 6 KV PA 34 BALCESCU,Buzau,LES 6 KV PA 34 BALCESCU CE MT JT BUZAU+BUZAU SUD,3,PT,RET JT PTAB 0002 CENTRU CIVIC BUZAU,LES JT PTAB 0002 CENTRU CIVIC BUZAU,LEA JT PTAB 0002 CENTRU CIVIC BUZAU,PTAB - Anvelopa de Beton,PTAB 0002 CENTRU CIVIC BUZAU,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE MUNICIPAL BZ,FORMATIA EXPLOATARE MUNICIPAL BZ,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
16041,2,PC 0002 CEF 2 STALPU,PA PC 0002 CEF 2 STALPU,DEER,CENTRALA ELECTRICA-FOTOVOLTAICA,LEA 20 KV FRASINU,Buzau,LEA 20 KV FRASINU CE MT JT BUZAU+BUZAU SUD,2,PA,RET JT PA PC 0002 CEF 2 STALPU,,,,PA PC 0002 CEF 2 STALPU,CE MT JT Buzau+Buzau Sud,FORMATIA SO SUD,FORMATIA SO SUD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
2719,2,AVIATIE BOBOC,PTZ 0002 AVIATIE BOBOC,DEER,,LEA 20 KV IRIGATII,Buzau,LEA 20 KV IRIGATII CE MT JT BUZAU NORD,25,PT,RET JT PTZ 0002 AVIATIE BOBOC,LES JT PTZ 0002 AVIATIE BOBOC,,PTZ - Zidit,PTZ 0002 AVIATIE BOBOC,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE RETELE NORD,FORMATIA EXPLOATARE RETELE NORD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
10266,2,POGOANELE,PTZ 0002 POGOANELE,DEER,,LES 20 KV ORAS,Buzau,LES 20 KV ORAS CE MT JT BUZAU+BUZAU SUD,16,PT,RET JT PTZ 0002 POGOANELE,LES JT PTZ 0002 POGOANELE,LEA JT PTZ 0002 POGOANELE,PTZ - Zidit,PTZ 0002 POGOANELE,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE POGOANELE,FORMATIA EXPLOATARE POGOANELE,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
2764,2,B-DUL UNIRII,PTM 0002 B-DUL UNIRII,DEER,,LES 6 KV 6_MARTIE,Buzau,LES 6 KV 6_MARTIE CE MT JT BUZAU+BUZAU SUD,6,PT,RET JT PTM 0002 B-DUL UNIRII,LES JT PTM 0002 UNIRII RM SARAT,LEA JT PTM 0002 UNIRII RM SARAT,PTM - Metalic,PTM 0002 B-DUL UNIRII,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE RM.SARAT URBAN,FORMATIA EXPLOATARE RM.SARAT URBAN,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
11138,2,FILATURA BUZAU,PTZ 0002 FILATURA BUZAU,DEER,,LES 20 KV FILATURA 1,Buzau,LES 20 KV FILATURA 1 CE MT JT BUZAU+BUZAU SUD,9,PT,RET JT PTZ 0002 FILATURA BUZAU,LES JT PTZ 0002 FILATURA BUZAU,,PTZ - Zidit,PTZ 0002 FILATURA BUZAU,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE MUNICIPAL BZ,FORMATIA EXPLOATARE MUNICIPAL BZ,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
4013,3,MOSESTI,PTA 0003 MOSESTI,DEER,PTA 0003 MOSESTI,LEA 20 KV SCURTESTI,Buzau,LEA 20 KV SCURTESTI CE MT JT BUZAU NORD,54,PT,RET JT PTA 0003 MOSESTI,LES JT PTA 0003 MOSESTI,LEA JT PTA 0003 MOSESTI,PTA - Aerian,PTA 0003 MOSESTI,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE RETELE NORD,FORMATIA EXPLOATARE RETELE NORD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
3993,3,22_DEC_1989,PTZ 0003 22_DEC_1989,DEER,,LES 6 KV 6_MARTIE,Buzau,LES 6 KV 6_MARTIE CE MT JT BUZAU+BUZAU SUD,5,PT,RET JT PTZ 0003 22_DEC_1989,LES JT PTZ 0003 22 DECEMBRIE RM SARA,LEA JT PTZ 0003 22 DECEMBRIE RM SARA,PTZ - Zidit,PTZ 0003 22_DEC_1989,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE RM.SARAT URBAN,FORMATIA EXPLOATARE RM.SARAT URBAN,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
10289,3,SALA POLIVALENTA BUZAU,PTZ 0003 SALA POLIVALENTA BUZAU,DEER,,LES 20 KV LICEUL ENERGETIC,Buzau,LES 20 KV LICEUL ENERGETIC CE MT JT BUZAU+BUZAU SUD,45,PT,RET JT PTZ 0003 SALA POLIVALENTA BUZA,LES JT PTZ 0003 SALA POLIVALENTA BUZ,,PTZ - Zidit,PTZ 0003 SALA POLIVALENTA BUZAU,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE MUNICIPAL BZ,FORMATIA EXPLOATARE MUNICIPAL BZ,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
16042,3,PC 0003 CEF 3 STALPU,PA PC 0003 CEF 3 STALPU,DEER,,LEA 20 KV MONTEORU,Buzau,LEA 20 KV MONTEORU CE MT JT BUZAU+BUZAU SUD,1,PA,RET JT PA PC 0003 CEF 3 STALPU,,,,PA PC 0003 CEF 3 STALPU,CE MT JT Buzau+Buzau Sud,FORMATIA SO SUD,FORMATIA SO SUD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
7833,3,BADENI,PTA 0003 BADENI,DEER,,LEA 20 KV PIETROASELE,Buzau,LEA 20 KV PIETROASELE CE MT JT BUZAU+BUZAU SUD,49,PT,RET JT PTA 0003 BADENI,,LEA JT PTA 0003 BADENI,PTA - Aerian,PTA 0003 BADENI,CE MT JT Buzau+Buzau Sud,FORMATIA SO SUD,FORMATIA SO SUD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
10288,3,LICEU POGOANELE,PTZ 0003 LICEU POGOANELE,DEER,,LES 20 KV ORAS,Buzau,LES 20 KV ORAS CE MT JT BUZAU+BUZAU SUD,19,PT,RET JT PTZ 0003 LICEU POGOANELE,LES JT PTZ 0003 LICEU POGOANELE,,PTZ - Zidit,PTZ 0003 LICEU POGOANELE,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE POGOANELE,FORMATIA EXPLOATARE POGOANELE,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
4736,4,BREBU,PTA 0004 BREBU,DEER,,LEA 20 KV VINTILA VODA,Buzau,LEA 20 KV VINTILA VODA CE MT JT BUZAU NORD,23,PT,RET JT PTA 0004 BREBU,LES JT PTA 0004 BREBU,LEA JT PTA 0004 BREBU,PTA - Aerian,PTA 0004 BREBU,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE RETELE BERCA,FORMATIA EXPLOATARE RETELE BERCA,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
7917,4,CAP,PTA 0004 CAP,DEER,,LEA 20 KV TOPITORIE,Buzau,LEA 20 KV TOPITORIE CE MT JT BUZAU+BUZAU SUD,10,PT,RET JT PTA 0004 CAP,LES JT PTA 0004 CAP BUZAU,LEA JT PTA 0004 CAP BUZAU,PTA - Aerian,PTA 0004 CAP,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE MUNICIPAL BZ,FORMATIA EXPLOATARE MUNICIPAL BZ,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
16043,4,PC 0004 CEF 4 STALPU,PA PC 0004 CEF 4 STALPU,DEER,,LEA 20 KV PIETROASELE,Buzau,LEA 20 KV PIETROASELE CE MT JT BUZAU+BUZAU SUD,1,PA,RET JT PA PC 0004 CEF 4 STALPU,,,,PA PC 0004 CEF 4 STALPU,CE MT JT Buzau+Buzau Sud,FORMATIA SO SUD,FORMATIA SO SUD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
7918,4,MIEREA_1,PTA 0004 MIEREA_1,DEER,,LEA 20 KV ZORESTI,Buzau,LEA 20 KV ZORESTI CE MT JT BUZAU+BUZAU SUD,33,PT,RET JT PTA 0004 MIEREA_1,,LEA JT PTA 0004 MIEREA,PTA - Aerian,PTA 0004 MIEREA_1,CE MT JT Buzau+Buzau Sud,FORMATIA SO SUD,FORMATIA SO SUD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
4734,4,STR 6_MARTIE_1945,PTZ 0004 STR 6_MARTIE_1945,DEER,,LES 6 KV 6_MARTIE,Buzau,LES 6 KV 6_MARTIE CE MT JT BUZAU+BUZAU SUD,2,PT,RET JT PTZ 0004 STR 6_MARTIE_1945,LES JT PTZ 0004 6 MARTIE RM SARAT,LEA JT PTZ 0004 6 MARTIE RM SARAT,PTZ - Zidit,PTZ 0004 STR 6_MARTIE_1945,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE RM.SARAT URBAN,FORMATIA EXPLOATARE RM.SARAT URBAN,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
10307,4,TRANSILVANIEI BUZAU,PTZ 0004 TRANSILVANIEI BUZAU,DEER,,LES 6 KV FLACARA1,Buzau,LES 6 KV FLACARA1 CE MT JT BUZAU+BUZAU SUD,2,PT,RET JT PTZ 0004 TRANSILVANIEI BUZAU,,LEA JT PTZ 0004 TRANSILVANIEI BUZAU,PTZ - Zidit,PTZ 0004 TRANSILVANIEI BUZAU,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE MUNICIPAL BZ,FORMATIA EXPLOATARE MUNICIPAL BZ,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
5171,5,BUDA 1,PTA 0005 BUDA 1,DEER,,LEA 20 KV RACOVITENI,Buzau,LEA 20 KV RACOVITENI CE MT JT RM.SARAT,18,PT,RET JT PTA 0005 BUDA 1,LES JT PTA 0005 BUDA,LEA JT PTA 0005 BUDA,PTA - Aerian,PTA 0005 BUDA 1,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE  RM.SARAT RURAL,FORMATIA EXPLOATARE  RM.SARAT RURAL,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
5191,5,RUNCU,PTA 0005 RUNCU,DEER,,LEA 20 KV VINTILA VODA,Buzau,LEA 20 KV VINTILA VODA CE MT JT BUZAU NORD,29,PT,RET JT PTA 0005 RUNCU,LES JT PTA 0005 RUNCU,LEA JT PTA 0005 RUNCU,PTA - Aerian,PTA 0005 RUNCU,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE RETELE BERCA,FORMATIA EXPLOATARE RETELE BERCA,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
16187,5,PC 0005 CEF 5 VERGULEASA,PA PC 0005 CEF 5 VERGULEASA,DEER,,LEA 20 KV TINTESTI,Buzau,LEA 20 KV TINTESTI CE MT JT BUZAU+BUZAU SUD,999,PA,RET JT PA PC 0005 CEF 5 VERGULEASA,,,,PA PC 0005 CEF 5 VERGULEASA,CE MT JT Buzau+Buzau Sud,FORMATIA SO SUD,FORMATIA SO SUD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
10325,5,RELEU ISTRITA,PTZ 0005 RELEU ISTRITA,DEER,,LEA 20 KV NAENI,Buzau,LEA 20 KV NAENI CE MT JT BUZAU+BUZAU SUD,37,PT,RET JT PTZ 0005 RELEU ISTRITA,LES JT PTZ 0005 RELEU ISTRITA,,PTZ - Zidit,PTZ 0005 RELEU ISTRITA,CE MT JT Buzau+Buzau Sud,FORMATIA SO SUD,FORMATIA SO SUD,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
10326,5,SPITAL POGOANELE,PTZ 0005 SPITAL POGOANELE,DEER,,LEA 20 KV SILOZ POGOANELE,Buzau,LEA 20 KV SILOZ POGOANELE CE MT JT BUZAU+BUZAU SUD,5,PT,RET JT PTZ 0005 SPITAL POGOANELE,LES JT PTZ 0005 SPITAL POGOANELE,LEA JT PTZ 0005 SPITAL POGOANELE,PTZ - Zidit,PTZ 0005 SPITAL POGOANELE,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE POGOANELE,FORMATIA EXPLOATARE POGOANELE,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
5169,5,ANA IPATESCU,PTZ 0005 ANA IPATESCU,DEER,,LES 6 KV ANA IPATESCU,Buzau,LES 6 KV ANA IPATESCU CE MT JT RM.SARAT,1,PT,RET JT PTZ 0005 ANA IPATESCU,LES JT PTZ 0005 ANA IPATESCU RM SARA,LEA JT PTZ 0005 ANA IPATESCU RM SARA,PTZ - Zidit,PTZ 0005 ANA IPATESCU,CE MT JT Buzau+Buzau Sud,FORMATIA EXPLOATARE RM.SARAT URBAN,FORMATIA EXPLOATARE RM.SARAT URBAN,CE MT JT Buzau,SDEE Buzau,SDEE Buzau,SDEE Buzau
